episode,minibatch=1,minibatch=10,minibatch=50,minibatch=100
0,9.000000,9.400000,12.400000,18.200000
1,8.900000,9.400000,12.100000,18.800000
2,9.133333,9.200000,12.466667,17.666667
3,9.150000,9.300000,12.500000,17.550000
4,9.320000,9.320000,12.800000,17.480000
5,9.333333,9.333333,12.633333,18.533333
6,9.314286,9.371429,12.485714,19.657143
7,9.275000,9.350000,12.450000,19.950000
8,9.311111,9.355556,12.333333,20.600000
9,9.320000,9.340000,12.380000,20.260000
10,10.636364,9.327273,12.436364,19.418182
11,11.150000,9.316667,12.166667,18.716667
12,12.169231,9.323077,11.984615,17.984615
13,11.971429,9.285714,11.728571,17.342857
14,12.186667,9.320000,11.600000,16.800000
15,13.012500,9.325000,11.462500,16.312500
16,12.800000,9.341176,11.294118,15.964706
17,12.611111,9.322222,11.177778,15.600000
18,12.442105,9.326316,11.094737,15.305263
19,12.290000,9.350000,11.020000,15.040000
20,12.257143,9.380952,10.952381,14.819048
21,12.236364,9.454545,10.881818,14.600000
22,12.095652,9.991304,10.817391,14.382609
23,12.000000,10.533333,10.766667,14.191667
24,11.904000,11.168000,10.712000,14.056000
25,12.040000,11.304000,10.592000,13.728000
26,12.072000,11.440000,10.480000,13.392000
27,12.064000,11.488000,10.336000,13.328000
28,12.056000,11.480000,10.200000,13.112000
29,12.008000,11.440000,9.992000,12.864000
30,12.040000,11.432000,9.896000,12.312000
31,12.024000,11.440000,9.792000,11.680000
32,12.056000,11.480000,9.696000,11.168000
33,12.040000,11.488000,9.680000,10.608000
34,12.056000,11.928000,9.584000,10.432000
35,11.768000,12.048000,9.456000,10.456000
36,11.584000,12.320000,9.448000,10.488000
37,11.296000,13.136000,9.480000,10.640000
38,11.312000,13.184000,9.608000,10.736000
39,11.088000,13.216000,9.656000,10.816000
40,10.448000,13.248000,9.792000,10.888000
41,10.440000,13.640000,9.816000,10.936000
42,10.448000,13.672000,9.928000,11.280000
43,10.424000,13.680000,10.064000,11.424000
44,10.400000,15.016000,10.304000,11.888000
45,10.312000,15.328000,10.680000,12.392000
46,10.224000,15.424000,11.504000,13.056000
47,10.704000,15.176000,12.688000,13.288000
48,10.808000,14.720000,12.880000,13.664000
49,10.808000,14.128000,13.080000,14.184000
50,10.704000,14.032000,13.856000,14.872000
51,10.696000,13.912000,16.048000,15.760000
52,10.768000,14.632000,17.464000,15.984000
53,11.416000,14.736000,18.776000,16.264000
54,11.584000,14.960000,20.752000,17.864000
55,11.544000,15.120000,21.712000,18.432000
56,11.544000,15.160000,22.208000,18.832000
57,11.528000,15.392000,23.584000,19.352000
58,11.544000,15.808000,25.048000,20.296000
59,11.544000,15.880000,29.424000,23.016000
60,11.256000,17.112000,31.416000,24.752000
61,11.144000,17.912000,33.296000,26.112000
62,10.816000,17.272000,34.832000,26.296000
63,10.816000,17.600000,35.984000,27.384000
64,10.848000,18.352000,37.936000,29.400000
65,10.856000,18.616000,39.504000,30.832000
66,10.888000,18.496000,40.200000,31.616000
67,11.000000,18.672000,41.080000,31.728000
68,11.096000,19.048000,41.984000,34.496000
69,11.120000,18.352000,44.248000,37.056000
70,11.112000,18.616000,46.336000,39.864000
71,11.464000,18.920000,47.192000,45.776000
72,11.088000,19.288000,48.440000,50.328000
73,10.976000,20.408000,50.320000,52.504000
74,10.976000,20.944000,52.384000,61.832000
75,10.944000,21.520000,53.992000,71.720000
76,10.944000,22.640000,55.616000,78.696000
