episode,eps_0p05,eps_0p1,eps_0p3,eps_0p5
0,-55.959176,-55.773021,-58.632692,-53.326409
1,-43.889823,-49.411496,-55.603740,-56.177261
2,-23.692280,-19.497299,-23.709994,-24.103834
3,-1.536231,-11.532591,-25.343201,-26.904097
4,-7.201114,-6.253336,-3.134471,-17.751910
5,4.412691,-1.510625,-0.657238,-7.369019
6,13.642167,11.787872,-1.533185,-7.489651
7,7.894358,14.610272,-9.838236,-12.720756
8,18.559992,9.100809,7.423124,-1.409837
9,20.587373,16.597993,9.636800,-0.491464
10,24.820006,22.859273,13.666770,-0.259909
11,22.551925,21.829127,15.401088,-0.952549
12,28.067207,20.348866,15.410266,2.027846
13,19.594969,27.077917,16.613234,5.524477
14,32.648066,22.879197,19.776314,3.390937
15,35.813203,28.584646,16.856284,6.052742
16,31.421209,34.294673,20.090836,4.362305
17,31.207850,33.585313,22.732674,3.055777
18,32.470606,32.785808,22.169640,11.556504
19,38.975745,35.888133,26.807652,2.111173
20,39.096747,35.536215,30.802012,12.304771
21,47.767948,41.660753,28.622983,15.663683
22,40.093419,45.466497,27.726841,12.536353
23,46.540530,45.227736,37.150947,15.929434
24,49.004769,45.825981,37.060457,17.074057
25,43.454618,42.130625,29.102756,13.238782
26,47.091896,45.296984,32.805015,18.741768
27,47.451966,46.612401,27.875133,16.558501
28,48.948709,43.991328,32.178484,9.485206
29,47.279759,36.745316,34.243586,15.787410
30,50.929082,44.940057,34.596599,13.949798
31,46.402850,50.399819,30.691755,11.856507
32,40.476228,47.119843,35.924374,11.906228
33,47.397411,51.062451,32.741673,16.883377
34,52.859819,43.318705,32.687156,14.610633
35,47.714623,44.531535,35.253615,17.939605
36,46.957111,43.245849,36.109772,21.536914
37,43.640302,41.932144,29.992803,15.234391
38,45.248695,46.213483,32.346477,17.451155
39,48.644518,46.463806,32.076423,20.259326
40,43.217154,46.585179,29.392833,22.889470
41,49.371302,47.672545,32.594352,19.426658
42,54.244912,48.614554,29.272627,17.631372
43,49.746256,45.158610,32.940240,14.010176
44,46.962684,47.334855,30.543480,11.247844
45,50.288293,47.812374,35.608855,22.498992
46,51.729009,53.173328,39.535866,11.065377
47,53.352284,46.547672,25.612974,26.730565
48,48.074574,48.303313,29.043505,16.417196
49,49.012929,45.256723,37.094966,24.301868
50,48.707277,44.375426,33.369735,20.041172
51,48.683099,44.995640,36.174321,23.227074
52,55.239817,41.469736,34.346522,20.287416
53,40.772084,47.612233,32.783209,19.176961
54,53.169891,47.066484,36.795788,21.351122
55,48.683269,45.733593,35.199530,17.072227
56,49.839953,48.493645,31.548431,9.260561
57,48.765166,48.481699,30.415455,24.874222
58,49.509679,51.546541,34.107495,17.462530
59,51.033782,45.324828,35.316212,19.749281
60,44.551797,49.470407,35.461628,16.222671
61,57.435106,47.982614,36.213886,21.858723
62,48.727250,49.002808,32.753558,19.994076
63,42.794857,45.479681,36.616336,22.818403
64,47.825806,48.145911,35.993927,15.728968
65,49.186883,46.152553,29.849670,25.734243
66,52.240415,49.300468,40.124270,21.224130
67,48.999557,44.672551,36.146321,19.261258
68,54.344800,51.512845,34.924989,22.875158
69,47.464493,48.531440,39.040719,22.294114
70,45.379878,47.649604,34.802660,21.595203
71,50.252464,45.848077,33.991663,20.168693
72,38.755523,47.961878,27.328271,24.296670
73,55.934366,52.727127,26.672176,16.554396
74,48.670479,44.601648,35.807542,16.143472
75,52.045059,46.386216,35.961387,15.171004
76,48.446404,47.516334,38.731329,27.997894
77,49.921584,51.686402,33.786666,16.388972
78,50.008061,46.595314,41.181787,17.316136
79,50.317285,49.458769,28.909383,20.974195
80,47.017059,45.629923,36.440977,20.897063
81,48.269657,43.995467,33.230894,18.354358
82,49.750064,47.497825,31.943640,20.707110
83,53.535654,46.416444,35.137411,28.486605
84,45.231173,44.828344,36.351087,15.699643
85,49.415261,48.909333,29.429918,21.899789
86,47.249532,37.859266,35.886735,20.009064
87,49.389175,48.079948,37.863345,17.705603
88,48.472626,46.156457,32.439094,25.454229
89,46.803156,49.107607,36.260234,22.484308
90,50.835584,46.609107,29.808600,17.824550
91,44.838264,50.611724,34.003713,19.664073
92,54.123397,43.944111,38.554029,19.196307
93,43.952107,47.583255,37.548745,11.287844
94,48.616572,49.262321,35.864907,15.549971
95,43.585816,50.320611,37.342173,15.871886
96,52.273747,52.484243,35.217091,22.822855
97,47.870928,40.685427,41.911758,18.397499
